name,nation,position,team,age,year_born,full_games,touches,touches_defensive_pen_area,touches_defensive_third,touches_mid_third,touches_attacking_third,touches_attacking_pen_area,live_ball_touches,take_on_attempts,successful_take_on,take_on_percentage,tackled_during_take_on,ball_carries,total_carry_distance,progressive_carry_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_recieved,progressive_passes_recieved,season,competition
Kevin Schade,GER,FW,Brentford,22,2001,25.5,883,43,154,238,507,146,883,89,30,33.7,52,434,3086,1357,61,28,38,60,36,543,165,2024-2025,Premier-League
Fabian Schär,SUI,DF,Newcastle Utd,32,1991,32.6,2319,266,1178,991,162,42,2319,13,8,61.5,3,1438,6526,3744,18,27,2,12,6,1609,22,2024-2025,Premier-League
Jeffrey Schlupp,GHA,"MF,DF",Crystal Palace,31,1992,1.1,79,2,9,31,41,6,79,1,1,100.0,0,30,150,67,4,1,1,7,0,41,9,2024-2025,Premier-League
Alex Scott,ENG,MF,Bournemouth,20,2003,8.4,485,24,90,257,144,18,485,26,6,23.1,13,247,1401,663,15,10,3,23,8,294,33,2024-2025,Premier-League
Matz Sels,BEL,GK,Nott'ham Forest,32,1992,38.0,1102,833,1082,20,0,0,1102,0,0,,0,528,3230,1697,1,1,1,0,0,426,0,2024-2025,Premier-League
Nélson Semedo,POR,DF,Wolves,30,1993,32.1,1717,123,483,788,467,27,1717,71,32,45.1,31,901,5223,2688,67,41,10,42,21,995,119,2024-2025,Premier-League
Antoine Semenyo,GHA,FW,Bournemouth,24,2000,35.6,1653,46,206,573,909,191,1653,135,69,51.1,57,979,7353,3581,140,69,67,84,77,1140,282,2024-2025,Premier-League
Marcos Senesi,ARG,DF,Bournemouth,27,1997,12.3,889,73,391,427,82,16,889,10,6,60.0,4,554,2862,1677,12,16,0,7,6,565,7,2024-2025,Premier-League
Ryan Sessegnon,ENG,"FW,DF",Fulham,24,2000,6.4,363,15,88,131,149,45,363,21,8,38.1,10,180,1054,549,18,14,10,19,8,210,59,2024-2025,Premier-League
Luke Shaw,ENG,DF,Manchester Utd,29,1995,3.9,317,26,128,149,42,4,317,1,0,0.0,1,226,1102,548,7,8,0,2,0,248,7,2024-2025,Premier-League
